Unnamed: 0,Location (District),Installed Capacity (MW),Latitude,Longitude,Average domestic electricity rates in Rs./KWh,Per capita electricity consumption in KWh,Solar Rad Monthly,Solar Rad Annual,poa monthly,allsky_insolation
0,Aalo,0.05,28.17012,94.79823,4,703,"[3.999358654022217, 3.6590754985809326, 3.6333441734313965, 3.678866386413574, 4.23896598815918, 3.914527416229248, 4.0122456550598145, 4.664297580718994, 4.2796759605407715, 4.9218316078186035, 5.07086181640625, 4.378422737121582]",4.204289436,"[123.98011779785156, 102.45411682128906, 112.6336669921875, 110.3659896850586, 131.40794372558594, 117.43582153320312, 124.3796157836914, 144.59323120117188, 128.39027404785156, 152.5767822265625, 152.1258544921875, 135.73110961914062]","[3.36, 3.46, 3.39, 3.31, 3.27]"
1,Abali,0.01,30.45856,78.25009,4,703,"[5.87696647644043, 5.861727237701416, 6.584075450897217, 6.905766010284424, 6.706887245178223, 5.660853862762451, 4.2950286865234375, 4.389890670776367, 5.508140563964844, 6.81989860534668, 6.298255443572998, 5.667972087860107]",5.881288528,"[182.1859588623047, 164.12835693359375, 204.10633850097656, 207.1729736328125, 207.9134979248047, 169.82562255859375, 133.14588928222656, 136.08660888671875, 165.2442169189453, 211.41685485839844, 188.94766235351562, 175.70713806152344]","[4.68, 4.69, 4.6, 4.68, 4.46]"
3,Adilabad,228,19.66667,78.53333,9.5,1896,"[6.148787975311279, 6.589134216308594, 6.797433376312256, 6.655625820159912, 6.4135518074035645, 5.2611565589904785, 4.349647045135498, 4.31183385848999, 5.483915328979492, 6.099085330963135, 5.975202560424805, 5.893599510192871]",5.831581116,"[190.6124267578125, 184.49575805664062, 210.72042846679688, 199.6687774658203, 198.82009887695312, 157.83470153808594, 134.8390655517578, 133.66685485839844, 164.5174560546875, 189.07164001464844, 179.25607299804688, 182.7015838623047]","[5.17, 5.07, 5.14, 5.02, 4.98]"
4,Agar Malwa,58.77,23.82502357,76.07296927,6.5,1084,"[5.8297810554504395, 6.8476409912109375, 7.0990495681762695, 7.014443397521973, 6.701700687408447, 5.617112159729004, 4.618174076080322, 4.51499605178833, 5.866316318511963, 6.273342132568359, 5.948788166046143, 5.576925754547119]",5.992355824,"[180.72320556640625, 191.73394775390625, 220.07054138183594, 210.4333038330078, 207.75271606445312, 168.51336669921875, 143.16339111328125, 139.96487426757812, 175.98948669433594, 194.47360229492188, 178.46363830566406, 172.88470458984375]","[4.98, 5.02, 5.02, 4.98, 4.76]"
5,Ahmedabad,10.51,23.02776,72.60027,5,2378,"[6.179914951324463, 6.704948425292969, 7.120151519775391, 7.004765033721924, 6.740757942199707, 5.821109294891357, 4.4397101402282715, 4.402998924255371, 5.627426624298096, 6.460025787353516, 5.957001209259033, 5.822260856628418]",6.023422241,"[191.57736206054688, 187.73855590820312, 220.72470092773438, 210.1429443359375, 208.9635009765625, 174.63328552246094, 137.63101196289062, 136.4929656982422, 168.8227996826172, 200.26080322265625, 178.7100372314453, 180.49008178710938]","[5.34, 5.22, 5.26, 5.23, 5.16]"
6,Ajmer,1,26.46553,74.63169,7.95,1282,"[5.967525959014893, 6.895943641662598, 7.221041202545166, 7.063640117645264, 6.969853401184082, 6.145046710968018, 5.225386142730713, 5.118587017059326, 6.339657783508301, 6.571442604064941, 6.054269313812256, 5.613687038421631]",6.265506744,"[184.99330139160156, 193.08642578125, 223.85227966308594, 211.90921020507812, 216.06546020507812, 184.3513946533203, 161.98696899414062, 158.6761932373047, 190.18972778320312, 203.7147216796875, 181.62808227539062, 174.0242919921875]","[5.26, 5.27, 5.27, 5.2, 5.11]"
8,Allahabad,170,25.43609,81.84718,7,606,"[4.9206390380859375, 6.007530689239502, 7.039349555969238, 6.947984218597412, 6.249853610992432, 5.553798198699951, 4.632285118103027, 5.0262885093688965, 5.516151428222656, 5.654690265655518, 5.159494876861572, 4.887695789337158]",5.632980347,"[152.53981018066406, 168.2108612060547, 218.21983337402344, 208.4395294189453, 193.74546813964844, 166.61395263671875, 143.60084533691406, 155.81494140625, 165.4845428466797, 175.29539489746094, 154.78485107421875, 151.51856994628906]","[4.77, 4.65, 4.85, 4.77, 4.57]"
9,Alwar,7.6,27.55608,76.61236,7.95,1282,"[5.059836387634277, 6.111655235290527, 6.731200218200684, 6.982943058013916, 6.162018775939941, 5.635159969329834, 5.060251235961914, 5.0803141593933105, 5.81718111038208, 5.994941234588623, 5.306169033050537, 4.912777900695801]",5.737870693,"[156.8549346923828, 171.1263427734375, 208.66720581054688, 209.48829650878906, 191.0225830078125, 169.05479431152344, 156.86778259277344, 157.48974609375, 174.5154266357422, 185.8431854248047, 159.18507385253906, 152.29611206054688]","[4.9, 4.87, 4.87, 4.83, 4.72]"
12,Amreli,12.28,21.60517,71.21625,5,2378,"[6.413984298706055, 6.8793158531188965, 7.172840118408203, 7.060049533843994, 6.685186386108398, 5.473466873168945, 4.301179885864258, 4.525389671325684, 5.68308687210083, 6.536577224731445, 6.150007724761963, 5.96397590637207]",6.070421696,"[198.83351135253906, 192.620849609375, 222.35804748535156, 211.80148315429688, 207.24078369140625, 164.20401000976562, 133.33657836914062, 140.28707885742188, 170.4925994873047, 202.63389587402344, 184.50022888183594, 184.8832550048828]","[5.28, 5.17, 5.22, 5.21, 5.07]"
13,Amritsar,1,31.63347,74.87507,7.3,2046,"[4.158251762390137, 5.067657947540283, 6.039586067199707, 6.494648456573486, 6.5356903076171875, 5.790807723999023, 5.206826210021973, 5.6198883056640625, 5.917149543762207, 5.795439720153809, 4.910055160522461, 4.541641712188721]",5.506470203,"[128.9058074951172, 141.89442443847656, 187.2271728515625, 194.83944702148438, 202.6063995361328, 173.72422790527344, 161.41160583496094, 174.21653747558594, 177.5144805908203, 179.65863037109375, 147.30165100097656, 140.7908935546875]","[4.66, 4.77, 4.76, 4.76, 4.57]"
