Name of Plant,Installed Capacity (MW),Type,Location (District),Latitude,Longitude,State,Date of Commissioning,Average domestic electricity rates in Rs./KWh,Per capita electricity consumption in KWh,Solar Rad Monthly,Solar Rad Annual,poa monthly
M/s. Sri Power Generation Ltd,1,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,14-Jan-2012,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/S. Amrit Jal Ventures Pvt Ltd,1,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,7-Mar-2012,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Kishore Electro Infra Pvt Ltd,1,Solar,Guntur,16.3,80.45,Andhra Pradesh,13-Mar-2012,9.95,1480,"[5.876765727996826, 6.448623180389404, 6.707615852355957, 6.568413257598877, 5.95897102355957, 5.020695209503174, 4.680469036102295, 4.982085227966309, 5.452865123748779, 5.374736309051514, 5.487008571624756, 5.38821268081665]",5.662205219,"[182.1797332763672, 180.5614471435547, 207.93609619140625, 197.05239868164062, 184.7281036376953, 150.620849609375, 145.09454345703125, 154.44464111328125, 163.58595275878906, 166.6168212890625, 164.61026000976562, 167.0345916748047]"
M/s. Gajanan Financial Services Pvt\rLtd,1,Solar,Kurnool,15.82547,78.03012,Andhra Pradesh,14-Mar-2012,9.95,1480,"[6.261613845825195, 6.7980875968933105, 7.0308518409729, 6.675332546234131, 6.159399509429932, 5.432031631469727, 4.832518100738525, 5.295962333679199, 5.691495418548584, 5.68200159072876, 6.011066913604736, 5.9435319900512695]",5.984491348,"[194.1100311279297, 190.34645080566406, 217.95640563964844, 200.25997924804688, 190.94139099121094, 162.96095275878906, 149.8080596923828, 164.17483520507812, 170.74485778808594, 176.1420440673828, 180.33200073242188, 184.24949645996094]"
M/s. Andhra Pradesh Industries\rInfrastructure Corporation Ltd,1,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,15-Mar-2012,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Saisudhir Energy Ltd,5,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,5-Jan-2012,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Welspun Solar Pvt Ltd,5,Solar,Kadapa,14.05746,78.74949,Andhra Pradesh,31-Dec-2011,9.95,1480,"[6.29002571105957, 6.935344219207764, 7.039735794067383, 6.7541728019714355, 6.242395877838135, 5.570552349090576, 5.329595565795898, 5.546454429626465, 6.0452752113342285, 5.507758140563965, 5.506104469299316, 5.299879550933838]",6.005609035,"[194.9907989501953, 194.18963623046875, 218.2318115234375, 202.62518310546875, 193.51426696777344, 167.1165771484375, 165.21746826171875, 171.94009399414062, 181.35826110839844, 170.74050903320312, 165.18313598632812, 164.2962646484375]"
M/s. Rithwik Projects Pvt Ltd,2,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,25-Apr-2012,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
"B.G Channappa , Class-I",4,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,22-Apr-2013,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Value Labs LLP,5,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,24-Apr-2013,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
