index,time,Values
0,01-01-2014 00:00,0
1,01-01-2014 01:00,0
2,01-01-2014 02:00,0
3,01-01-2014 03:00,0
4,01-01-2014 04:00,0
5,01-01-2014 05:00,0
6,01-01-2014 06:00,24.172
7,01-01-2014 07:00,76.397
8,01-01-2014 08:00,122.814
9,01-01-2014 09:00,154.061
10,01-01-2014 10:00,163.537
11,01-01-2014 11:00,161.615
12,01-01-2014 12:00,152.405
13,01-01-2014 13:00,131.113
14,01-01-2014 14:00,102.619
15,01-01-2014 15:00,60.183
16,01-01-2014 16:00,14.744
17,01-01-2014 17:00,0
18,01-01-2014 18:00,0
19,01-01-2014 19:00,0
20,01-01-2014 20:00,0
21,01-01-2014 21:00,0
22,01-01-2014 22:00,0
23,01-01-2014 23:00,0
24,02-01-2014 00:00,0
25,02-01-2014 01:00,0
26,02-01-2014 02:00,0
27,02-01-2014 03:00,0
28,02-01-2014 04:00,0
29,02-01-2014 05:00,0
30,02-01-2014 06:00,32.059
31,02-01-2014 07:00,97.251
32,02-01-2014 08:00,145.621
33,02-01-2014 09:00,163.537
34,02-01-2014 10:00,163.537
35,02-01-2014 11:00,163.537
36,02-01-2014 12:00,163.537
37,02-01-2014 13:00,163.537
38,02-01-2014 14:00,136.9
39,02-01-2014 15:00,88.391
40,02-01-2014 16:00,25.695
41,02-01-2014 17:00,0
42,02-01-2014 18:00,0
43,02-01-2014 19:00,0
44,02-01-2014 20:00,0
45,02-01-2014 21:00,0
46,02-01-2014 22:00,0
47,02-01-2014 23:00,0
48,03-01-2014 00:00,0
49,03-01-2014 01:00,0
50,03-01-2014 02:00,0
51,03-01-2014 03:00,0
52,03-01-2014 04:00,0
53,03-01-2014 05:00,0
54,03-01-2014 06:00,32.399
55,03-01-2014 07:00,97.349
56,03-01-2014 08:00,144.731
57,03-01-2014 09:00,163.537
58,03-01-2014 10:00,163.537
59,03-01-2014 11:00,163.537
60,03-01-2014 12:00,163.537
61,03-01-2014 13:00,163.537
62,03-01-2014 14:00,138.677
63,03-01-2014 15:00,91.155
64,03-01-2014 16:00,27.834
65,03-01-2014 17:00,0
66,03-01-2014 18:00,0
67,03-01-2014 19:00,0
68,03-01-2014 20:00,0
69,03-01-2014 21:00,0
70,03-01-2014 22:00,0
71,03-01-2014 23:00,0
72,04-01-2014 00:00,0
73,04-01-2014 01:00,0
74,04-01-2014 02:00,0
75,04-01-2014 03:00,0
76,04-01-2014 04:00,0
77,04-01-2014 05:00,0
78,04-01-2014 06:00,32.94
79,04-01-2014 07:00,100.588
80,04-01-2014 08:00,150.755
81,04-01-2014 09:00,163.537
82,04-01-2014 10:00,163.537
83,04-01-2014 11:00,163.537
84,04-01-2014 12:00,163.537
85,04-01-2014 13:00,163.537
86,04-01-2014 14:00,143.231
87,04-01-2014 15:00,93.45
88,04-01-2014 16:00,28.513
89,04-01-2014 17:00,0
90,04-01-2014 18:00,0
91,04-01-2014 19:00,0
92,04-01-2014 20:00,0
93,04-01-2014 21:00,0
94,04-01-2014 22:00,0
95,04-01-2014 23:00,0
96,05-01-2014 00:00,0
97,05-01-2014 01:00,0
98,05-01-2014 02:00,0
99,05-01-2014 03:00,0
100,05-01-2014 04:00,0
101,05-01-2014 05:00,0
102,05-01-2014 06:00,26.617
103,05-01-2014 07:00,85.714
104,05-01-2014 08:00,134.028
105,05-01-2014 09:00,163.537
106,05-01-2014 10:00,163.537
107,05-01-2014 11:00,163.537
108,05-01-2014 12:00,163.537
109,05-01-2014 13:00,160.12
110,05-01-2014 14:00,128.918
111,05-01-2014 15:00,82.147
112,05-01-2014 16:00,23.628
113,05-01-2014 17:00,0
114,05-01-2014 18:00,0
115,05-01-2014 19:00,0
116,05-01-2014 20:00,0
117,05-01-2014 21:00,0
118,05-01-2014 22:00,0
119,05-01-2014 23:00,0
120,06-01-2014 00:00,0
121,06-01-2014 01:00,0
122,06-01-2014 02:00,0
123,06-01-2014 03:00,0
124,06-01-2014 04:00,0
125,06-01-2014 05:00,0
126,06-01-2014 06:00,25.824
127,06-01-2014 07:00,84.276
128,06-01-2014 08:00,131.83
129,06-01-2014 09:00,163.101
130,06-01-2014 10:00,163.537
131,06-01-2014 11:00,163.537
132,06-01-2014 12:00,163.537
133,06-01-2014 13:00,161.803
134,06-01-2014 14:00,132.486
135,06-01-2014 15:00,85.677
136,06-01-2014 16:00,26.153
137,06-01-2014 17:00,0
138,06-01-2014 18:00,0
139,06-01-2014 19:00,0
140,06-01-2014 20:00,0
141,06-01-2014 21:00,0
142,06-01-2014 22:00,0
143,06-01-2014 23:00,0
144,07-01-2014 00:00,0
145,07-01-2014 01:00,0
146,07-01-2014 02:00,0
147,07-01-2014 03:00,0
148,07-01-2014 04:00,0
149,07-01-2014 05:00,0
150,07-01-2014 06:00,25.021
151,07-01-2014 07:00,80.796
152,07-01-2014 08:00,128.47
153,07-01-2014 09:00,155.471
154,07-01-2014 10:00,163.537
155,07-01-2014 11:00,160.058
156,07-01-2014 12:00,144.733
157,07-01-2014 13:00,117.406
158,07-01-2014 14:00,102.546
159,07-01-2014 15:00,61.339
160,07-01-2014 16:00,20.018
161,07-01-2014 17:00,0
162,07-01-2014 18:00,0
163,07-01-2014 19:00,0
164,07-01-2014 20:00,0
165,07-01-2014 21:00,0
166,07-01-2014 22:00,0
167,07-01-2014 23:00,0
168,08-01-2014 00:00,0
169,08-01-2014 01:00,0
170,08-01-2014 02:00,0
171,08-01-2014 03:00,0
172,08-01-2014 04:00,0
173,08-01-2014 05:00,0
174,08-01-2014 06:00,31.084
175,08-01-2014 07:00,98.644
176,08-01-2014 08:00,149.594
177,08-01-2014 09:00,163.537
178,08-01-2014 10:00,163.537
179,08-01-2014 11:00,163.537
180,08-01-2014 12:00,163.537
181,08-01-2014 13:00,163.537
182,08-01-2014 14:00,142.665
183,08-01-2014 15:00,93.53
184,08-01-2014 16:00,29.346
185,08-01-2014 17:00,0
186,08-01-2014 18:00,0
187,08-01-2014 19:00,0
188,08-01-2014 20:00,0
189,08-01-2014 21:00,0
190,08-01-2014 22:00,0
191,08-01-2014 23:00,0
192,09-01-2014 00:00,0
193,09-01-2014 01:00,0
194,09-01-2014 02:00,0
195,09-01-2014 03:00,0
196,09-01-2014 04:00,0
197,09-01-2014 05:00,0
198,09-01-2014 06:00,29.159
199,09-01-2014 07:00,94.424
200,09-01-2014 08:00,142.981
201,09-01-2014 09:00,163.537
202,09-01-2014 10:00,163.537
203,09-01-2014 11:00,163.537
204,09-01-2014 12:00,163.537
205,09-01-2014 13:00,163.537
206,09-01-2014 14:00,139.735
207,09-01-2014 15:00,91.924
208,09-01-2014 16:00,29.688
209,09-01-2014 17:00,0
210,09-01-2014 18:00,0
211,09-01-2014 19:00,0
212,09-01-2014 20:00,0
213,09-01-2014 21:00,0
214,09-01-2014 22:00,0
215,09-01-2014 23:00,0
216,10-01-2014 00:00,0
217,10-01-2014 01:00,0
218,10-01-2014 02:00,0
219,10-01-2014 03:00,0
220,10-01-2014 04:00,0
221,10-01-2014 05:00,0
222,10-01-2014 06:00,25.301
223,10-01-2014 07:00,84.237
224,10-01-2014 08:00,131.481
225,10-01-2014 09:00,161.616
226,10-01-2014 10:00,163.537
227,10-01-2014 11:00,163.537
228,10-01-2014 12:00,163.537
229,10-01-2014 13:00,160.444
230,10-01-2014 14:00,132.015
231,10-01-2014 15:00,86.223
232,10-01-2014 16:00,28.896
233,10-01-2014 17:00,0
234,10-01-2014 18:00,0
235,10-01-2014 19:00,0
236,10-01-2014 20:00,0
237,10-01-2014 21:00,0
238,10-01-2014 22:00,0
239,10-01-2014 23:00,0
240,11-01-2014 00:00,0
241,11-01-2014 01:00,0
242,11-01-2014 02:00,0
243,11-01-2014 03:00,0
244,11-01-2014 04:00,0
245,11-01-2014 05:00,0
246,11-01-2014 06:00,26.442
247,11-01-2014 07:00,90.703
248,11-01-2014 08:00,139.605
249,11-01-2014 09:00,163.537
250,11-01-2014 10:00,163.537
251,11-01-2014 11:00,163.537
252,11-01-2014 12:00,163.537
253,11-01-2014 13:00,163.537
254,11-01-2014 14:00,138.859
255,11-01-2014 15:00,91.313
256,11-01-2014 16:00,30.235
257,11-01-2014 17:00,0
258,11-01-2014 18:00,0
259,11-01-2014 19:00,0
260,11-01-2014 20:00,0
261,11-01-2014 21:00,0
262,11-01-2014 22:00,0
263,11-01-2014 23:00,0
264,12-01-2014 00:00,0
265,12-01-2014 01:00,0
266,12-01-2014 02:00,0
267,12-01-2014 03:00,0
268,12-01-2014 04:00,0
269,12-01-2014 05:00,0
270,12-01-2014 06:00,22.543
271,12-01-2014 07:00,77.517
272,12-01-2014 08:00,119.086
273,12-01-2014 09:00,149.192
274,12-01-2014 10:00,163.537
275,12-01-2014 11:00,163.537
276,12-01-2014 12:00,163.537
277,12-01-2014 13:00,148.996
278,12-01-2014 14:00,121.823
279,12-01-2014 15:00,77.305
280,12-01-2014 16:00,24.641
281,12-01-2014 17:00,0
282,12-01-2014 18:00,0
283,12-01-2014 19:00,0
284,12-01-2014 20:00,0
285,12-01-2014 21:00,0
286,12-01-2014 22:00,0
287,12-01-2014 23:00,0
288,13-01-2014 00:00,0
289,13-01-2014 01:00,0
290,13-01-2014 02:00,0
291,13-01-2014 03:00,0
292,13-01-2014 04:00,0
293,13-01-2014 05:00,0
294,13-01-2014 06:00,21.983
295,13-01-2014 07:00,73.102
296,13-01-2014 08:00,118.833
297,13-01-2014 09:00,150.474
298,13-01-2014 10:00,163.537
299,13-01-2014 11:00,163.537
300,13-01-2014 12:00,163.537
301,13-01-2014 13:00,162.227
302,13-01-2014 14:00,130.315
303,13-01-2014 15:00,81.861
304,13-01-2014 16:00,25.703
305,13-01-2014 17:00,0
306,13-01-2014 18:00,0
307,13-01-2014 19:00,0
308,13-01-2014 20:00,0
309,13-01-2014 21:00,0
310,13-01-2014 22:00,0
311,13-01-2014 23:00,0
312,14-01-2014 00:00,0
313,14-01-2014 01:00,0
314,14-01-2014 02:00,0
315,14-01-2014 03:00,0
316,14-01-2014 04:00,0
317,14-01-2014 05:00,0
318,14-01-2014 06:00,25.973
319,14-01-2014 07:00,90.339
320,14-01-2014 08:00,140.105
321,14-01-2014 09:00,163.537
322,14-01-2014 10:00,163.537
323,14-01-2014 11:00,163.537
324,14-01-2014 12:00,163.537
325,14-01-2014 13:00,163.537
326,14-01-2014 14:00,139.564
327,14-01-2014 15:00,92.231
328,14-01-2014 16:00,30.756
329,14-01-2014 17:00,0
330,14-01-2014 18:00,0
331,14-01-2014 19:00,0
332,14-01-2014 20:00,0
333,14-01-2014 21:00,0
334,14-01-2014 22:00,0
335,14-01-2014 23:00,0
336,15-01-2014 00:00,0
337,15-01-2014 01:00,0
338,15-01-2014 02:00,0
339,15-01-2014 03:00,0
340,15-01-2014 04:00,0
341,15-01-2014 05:00,0
342,15-01-2014 06:00,24.752
343,15-01-2014 07:00,84.196
344,15-01-2014 08:00,131.914
345,15-01-2014 09:00,162.316
346,15-01-2014 10:00,163.537
347,15-01-2014 11:00,163.537
348,15-01-2014 12:00,163.537
349,15-01-2014 13:00,163.537
350,15-01-2014 14:00,134.835
351,15-01-2014 15:00,91.527
352,15-01-2014 16:00,32.023
353,15-01-2014 17:00,0
354,15-01-2014 18:00,0
355,15-01-2014 19:00,0
356,15-01-2014 20:00,0
357,15-01-2014 21:00,0
358,15-01-2014 22:00,0
359,15-01-2014 23:00,0
360,16-01-2014 00:00,0
361,16-01-2014 01:00,0
362,16-01-2014 02:00,0
363,16-01-2014 03:00,0
364,16-01-2014 04:00,0
