Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Jagalur, KA, India",01-01-2014,26.4,17.1,21.2,,,0,,7.6,,6.3,30,67.49,Partially cloudy
"Jagalur, KA, India",01-02-2014,26.2,17.7,21.4,,,0,,7.6,,6.3,43.8,64.43,Partially cloudy
"Jagalur, KA, India",01-03-2014,28.7,16.7,22.3,,27.7,0,,9.4,,6.3,31.3,57.97,Partially cloudy
"Jagalur, KA, India",01-04-2014,29.4,17.4,22.3,,27.9,0,,5.4,,7,25,52.18,Clear
"Jagalur, KA, India",01-05-2014,30.1,18.4,23.2,,28.3,0,,9.4,,7,17.5,48.39,Clear
"Jagalur, KA, India",01-06-2014,30.4,17.4,23.9,,28.6,0,,5.4,,6.3,10,46.38,Clear
"Jagalur, KA, India",01-07-2014,29.7,19.9,24,,28.4,0,,9.4,,7,2.5,44.46,Clear
"Jagalur, KA, India",01-08-2014,29.1,17.4,22.8,,28,0,,5.4,,7,0,59.3,Clear
"Jagalur, KA, India",01-09-2014,29.1,18.1,23,,28.3,0,,11.2,,7,0,62.71,Clear
"Jagalur, KA, India",01-10-2014,30.1,19.7,23.7,,30,0,,14.8,,7,15,66.8,Clear
"Jagalur, KA, India",01-11-2014,30.2,16.4,23.6,,29.2,0,,7.6,,6.3,22.5,60.23,Clear
"Jagalur, KA, India",01-12-2014,31.2,16.4,24.4,,29.4,0,,7.6,,7,17.5,48.82,Clear
"Jagalur, KA, India",01/13/2014,29.7,16.4,23.8,,28.2,0,,7.6,,7,23.8,47.73,Clear
"Jagalur, KA, India",01/14/2014,29.4,19.1,23.6,,28.2,0,,9.4,,7,18.8,50.75,Clear
"Jagalur, KA, India",01/15/2014,30.2,20.1,24.3,,29.9,0,,11.2,,7,17.5,55.82,Clear
"Jagalur, KA, India",01/16/2014,30.2,21.1,25.2,,30.4,0,,11.2,,7,8.8,57.49,Clear
"Jagalur, KA, India",01/17/2014,28.4,19.1,24.4,,29.3,0,,5.4,,6.3,40,65.69,Partially cloudy
"Jagalur, KA, India",01/18/2014,30.1,20.4,24.9,,29.3,0,,5.4,,6.3,33.8,57.99,Partially cloudy
"Jagalur, KA, India",01/19/2014,28.9,18.9,24,,28.7,0,,5.4,,5.5,11.3,64.77,Clear
"Jagalur, KA, India",01/20/2014,29.1,19.2,23.9,,29.3,0,,11.2,,7,16.3,66.27,Clear
"Jagalur, KA, India",01/21/2014,27.9,18.4,22.9,,27.6,0,,14.8,,7,25,60.16,Clear
